network|promo_type|promo_code|promo_price|promo_description
TM|Internet|GoSURF99|99|100 GOSURF MB. 1GB for Spotify Basic\nValidity: 30 days
TM|Internet|GOSURF299|299|1.5 GOSURF MB. 1 GB for Spotify Premium\nValidity: 30 days
TM|Internet|GOSURF499|499|3 GB GOSURF MB. 1 GB for Spotify Premium\nValidity: 30 days
TM|Internet|GOSURF999|999|5 GB	GOSURF MB. 1 GB for Spotify Premium\nValidity: 30 days
TM|Internet|GOSURF1799|1799|10 GB GOSURF MB. 1 GB for Spotify Premium\nValidity: 30 days
TM|Internet|GOSURF2499|2499|15 GB GOSURF MB. 1 GB for Spotify Premium\nValidity: 30 days
TM|Internet|SUPERSURF50|50|Unlimited mobile internet\nValidity: 1 day
TM|Internet|SUPERSURF200|200|Unlimited mobile internet\nValidity: 5 days
SMART|Text|AT10|10|Unli SMS to all Networks, Unli Facebook, FB Messenger & Viber \nValidity: 1 day
SMART|Text|AT12|12|150 All-Net SMS FREE Viber.\nValidity: 1 day
SMART|Text|AT60|60|30 min calls to SMART, TNT and Sun, Unli SMS to all networks, Unli Facebook, FB Messenger and Viber\nValidity: 5 days
SMART|Text|TEXT100|100|Unlimited Smart, Sun, TNT SMS\nValidity: 15 days
SMART|Text|SUPER10|10|Unlimited Tri-Net SMS, UnliChat (FB Messenger, Whatsapp, Viber, WeChat, Line)\nValidity: 1 day
SMART|Text|AT30|30|Unlimited SMS to all networks 30 Smart, Sun, TNT Minutes FREE Viber, FREE FB, FREE FB Messenger\nValidity: 2 days
SMART|Text|AT20|20|20 min calls to SMART, TNT and Sun, Unli SMS to all networks, Unli Facebook and Viber \nValidity: 15 days
SMART|Text|JUMPTXT15|15|Unlimited SMS to all networks FREE Viber \nValidity: 2 days
SMART|Text|L30|30|300 SMS to all networks 20 Smart and TNT Minutes \nValidity: 2 days
SMART|Text|L20|20|250 SMS to all networks 10 Smart and TNT Minutes  FREE Viber, FREE FB, FREE FB Messenger\nValidity: 1 day
SMART|Text|TEXT50|50|Unlimited Smart, Sun, TNT SMS, 30 MB Data\nValidity: 7 days
SMART|Call|CALL100|100|500 Smart, Sun, TNT Minutes\nValidity: 7 days
SMART|Call|TALK500|500|Unlimited Smart and TNT Calls\nValidity: 30 days
SMART|Call|TALK100|100|Unlimited On-Net Calls, 30 MB Data\nValidity: 5 days
SMART|Call|UNLI20|20|Unlimited Smart and TNT Minutes, 20 SMS to all networks, FREE Viber, FREE FB, FREE FB Messenger\nValidity: 7 days
SMART|Call & Text Combo|UCT350|350|Unli calls to SMART, TNT and Sun, Unli SMS to all networks, 500MB data\nValidity: 30 days
SMART|Call & Text Combo|TRINET100|100|750 SMS to all networks. 120 Smart, Sun, TNT Minutes. 35MB Data\nValidity: 7 days
SMART|Call & Text Combo|TRINET30|30|200 SMS to all networks. 50 Smart, Sun, TNT Minutes. 10MB Data\nValidity: 1 day
SMART|Call & Text Combo|UNLI600|600|Unlimited Smart and TNT SMS. Unlimited Smart and TNT Calls. 2000 SMS to all networks\nValidity: 30 days
SMART|Call & Text Combo|UNLI150|150|Unlimited Smart and TNT SMS. Unlimited Smart and TNT Calls. 100 SMS to other networks\nValidity: 3 days
SMART|Call & Text Combo|UCT25|25|Unli calls to SMART and TNT. Unli SMS to SMART, TNT and Sun. 50 SMS to all networks\nValidity: 1 day
SMART|Internet|ON 299|299|700MB, 30 days Spinnr + Opera max\nValidity: 30 days
SMART|Internet|ON 99|99|100MB, 30 days Spinnr + Opera max\nValidity: 30 days
SMART|Internet|ON 20|20|45MB, 1 day Spinnr \nValidity: 1 day
SMART|Internet|ON 10|10|10MB, 1 day Spinnr \nValidity: 1 day
SMART|Internet|ON 199|199|250MB, 15 days Spinnr  + Opera max\nValidity: 15 days
SMART|Internet|ON 499|499|1.5GB, 30 days Spinnr  + Opera max \nValidity: 30 days
SMART|Internet|ON 995|995|5GB, 30 days Spinnr  + Opera max \nValidity: 30 days
SMART|Internet|ON ​30|30|70MB, 1 day Spinnr\nValidity: 1 day
SMART|Internet|SURFMAX50|50|All-day surfing for 1 day\nValidity: 1 day
SMART|Internet|SURFMAXPLUS995|995|Up to  800MB LTE surfing per day\nValidity: 30 days
SMART|Internet|SURFMAXPLUS299|299|Up to  800MB LTE surfing per day\nValidity: 7 days
SMART|Internet|SURFMAXPLUS50|50|Up to  800MB LTE surfing per day\nValidity: 1 day
SMART|Internet|ALLIN99|99|Unlimited SMS to all networks. 100 Smart, Sun, TNT Minutes. 80 MB Data. FREE FB\nValidity: 7 days
TNT|Text|GU15|15|Unlimited Text to TNT/SMART 15mins Call to TNT/SMART\nValidity: 1 day
TNT|Text|GA20|20|200 texts to all networks 20mins  call to TNT/SMART\nValidity: 1 day
TNT|Text|GA30|30|300 texts to all networks 30mins  call to TNT/SMART\nValidity: 2 days
TNT|Text|GA50|50|3days Unlimited Text to TNT/SMART 60mins call to TNT/SMART\nValidity: 2 days
TNT|Text|GA99|99|1 day Unlimited Text to TNT/SMAR 15mins call to TNT/SMART\nValidity: 1 day
TNT|Call & Text Combo|TOT20|20|0.50 Call and text rate to TNT/SMART\nValidity: 1 day
TNT|Call & Text Combo|TOT30|30|0.50 Call and text rate to TNT/SMART\nValidity: 2 days
TNT|Call & Text Combo|U30|30|3days Unlimited Text to TNT/SMART 15mins Call to TNT/SMART\nValidity: 3 days
TNT|Call & Text Combo|U20|20|Unlimited calls  to TNT/SMART (10pm to 5pm) Unlimited Text  to TNT/SMART (Wholeday)\nValidity: 1 day
TNT|Call & Text Combo|AP20|20|Unlimited text, Unlimited Call to All network From 10pm to 10am & 12noon to 6pm.\nValidity: 1 day
TNT|Call & Text Combo|AL30|30|Unlimited Text, 30Mins of Calls, 30mins of Internet\nValidity: 3 days
TNT|Call & Text Combo|TRINET300|300|300 mins of calls, 30mb Internet TNT/SMART/Sun\nValidity: 30 days
TNT|Call & Text Combo|KT25|25|Unlimited call for 2 Users, Unlimited Call and text.\nValidity: 1 day
SUN|Call & Text Combo|CTU25|25|Unlimited Sun Calls, Unlimited all-net texts, Free Facebook.\nValidity: 1 day
SUN|Call & Text Combo|CTU30|30|Unlimited Trinet calls (Sun, Smart & Talk ‘N Text) Unlimited all-net texts, Free Facebook, Nonstop Chat**.\nValidity: 1 day
SUN|Call & Text Combo|CTU50|50|Unlimited Trinet Calls (Smart, Sun, and Talk 'N Text), Unlimited all-net texts, Free Facebook, Non-stop Chat**.\nValidity: 3 days
SUN|Call & Text Combo|CTU100|100|Unlimited Trinet Calls (Smart, Sun, and Talk 'N Text), Unlimited all-net texts, 100MB NET\nValidity: 7 days
SUN|Call & Text Combo|CTU450|450|Unlimited Trinet Calls (Smart, Sun, and Talk 'N Text), Unlimited all-net texts, Non-stop Chat**, Spinnr access, P50 regular load.\nValidity: 30 days
SUN|Call & Text Combo|CTC10|10|10 minutes Trinet calls (Sun, Smart & Talk ‘N Text), 50 Sun texts, 50 texts to other networks, Free Facebook\nValidity: 1 day
SUN|Call & Text Combo|CTC20|20|25 minutes Trinet calls (Sun, Smart & Talk ‘N Text), 100 Sun texts, 100 texts to other networks, Free Facebook\nValidity: 1 day
SUN|Call & Text Combo|CTC30|30|40 minutes Trinet calls (Sun, Smart & Talk ‘N Text), 150 Sun texts, 150 texts to other networks, Free Facebook, Nonstop Chat**\nValidity: 3 days
SUN|Call & Text Combo|CTC50|50|70 minutes Trinet calls (Sun, Smart & Talk ‘N Text), 250 Sun texts, 250 texts to other networks, Free Facebook, Nonstop Chat**\nValidity: 5 days
SUN|Text|WIN10|10|Unlimited Sun texts, 10 minutes Trinet calls (Sun, Smart & Talk ‘N Text), Free Facebook\nValidity: 1 day
SUN|Text|TU20|20|Unlimited Sun texts, 20 minutes Trinet calls (Sun, Smart & Talk ‘N Text), 50 texts to other networks, Free Facebook\nValidity: 3 days
SUN|Text|TU50|50|Unlimited Sun texts, 60 minutes Trinet calls (Sun, Smart & Talk ‘N Text), Free Facebook, Nonstop Chat**\nValidity: 10 days
SUN|Text|TU60|60|Unlimited Sun texts, 60 minutes Trinet calls (Sun, Smart & Talk ‘N Text), 200 texts to other networks, Free Facebook, Nonstop Chat**\nValidity: 10 days
SUN|Text|TU150|150|Unlimited Sun texts, 5 hours Sun Calls , Free Facebook, Nonstop Chat**, Spinnr access\nValidity: 30 days
SUN|Text|TU200|200|Unlimited Sun texts, 5 hours Sun, Smart, Talk ‘N Text calls, 1,000 texts to other networks, Free Facebook, Nonstop Chat**, Spinnr access\nValidity: 30 days
SUN|Text|TU300|300|Unlimited Sun texts, 10 hours Trinet calls (Sun, Smart & Talk ‘N Text), 3,000 texts to other networks, Free Facebook, Nonstop Chat**, Spinnr access\nValidity: 30 days
SUN|Text|TA30|30|Unlimited all-net texts, Free Facebook, Non-stop Chat**\nValidity: 3 days
SUN|Call & Text Combo|CU30", "Unlimited Sun calls, 50 all-net texts, Facebook, Non-stop Chat**\nValidity: 2 days
SUN|Internet|NONSTOP25|25|Non-stop surfing, 25MB Open Access, 300MB Spinnr Access & Streaming\nValidity: 1 day
SUN|Internet|NONSTOP50|50|Non-stop surfing, 100MB Open Access, 500MB Spinnr Access & Streaming\nValidity: 3 days
SUN|Internet|NONSTOP100|100|Non-stop surfing, 250MB Open Access, 1000MB Spinnr Access & Streaming\nValidity: 5 days
SUN|Internet|NONSTOP299|299|Non-stop surfing, 1000MB Spinnr Access & Streaming\nValidity: 30 days
